"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",0.421841520989818,0.201656663665357,2.09187989785376,0.036498247710803
"2","gendermale",-0.104878056887132,0.0133667754026799,-7.84617484229631,5.18116556980818e-15
"3","age30 to 44",-0.137007241496739,0.0197647686237195,-6.93189199960166,4.66465979852786e-12
"4","age45 to 55",-0.161045280675104,0.0209563805318212,-7.68478509113562,1.82407429992855e-14
"5","age60 plus",-0.126126458383706,0.0206097152170045,-6.1197574568931,1.00667721558824e-09
"6","educdDidn't graduate high school",-0.0606701271253114,0.0264493487333406,-2.29382310078713,0.0218408479688442
"7","educdGraduated college",0.0250896911318295,0.0174877511694073,1.43470083081471,0.15143325344822
"8","educdGraduated high school",-0.0557586096812392,0.0206549286572774,-2.6995304901038,0.00696648138080227
"9","stateAL",0.0988289965845876,0.19897096113354,0.496700604055777,0.61942145477138
"10","stateAR",-0.0267829501301509,0.205668484650191,-0.130223890041804,0.896394393827483
"11","stateAZ",0.155914613638859,0.195518503273941,0.797441730721555,0.425231395964842
"12","stateCA",0.264604122102459,0.192260851644333,1.37627665663291,0.168795997266926
"13","stateCO",0.168633963681193,0.198427289564726,0.849852679291805,0.395446610586984
"14","stateCT",0.39230101050488,0.201293362811409,1.94890186653807,0.0513615180689145
"15","stateDC",0.271850635195031,0.215826793477974,1.25957778834709,0.207878947687357
"16","stateDE",0.321899674268109,0.213735530096284,1.50606534216889,0.132111897648308
"17","stateFL",0.168150934692165,0.192577340551176,0.873160540128452,0.382616400363001
"18","stateGA",0.10906962671101,0.195026760105436,0.559254671779629,0.576012310811591
"19","stateHI",0.201884722267487,0.215325701719351,0.937578378500385,0.348505212787444
"20","stateIA",0.235069026142475,0.203307335738475,1.15622500923851,0.247642911667919
"21","stateID",0.0515494398751717,0.213727154684229,0.241192748536485,0.809415358788393
"22","stateIL",0.218880063747848,0.193664665772352,1.1302013347398,0.25844417452176
"23","stateIN",0.164918002076954,0.197110996377377,0.836675807580071,0.402813747339111
"24","stateKS",0.0931884072995906,0.204764914644784,0.45509948548192,0.649056904542987
"25","stateKY",0.173126935468993,0.19816275017301,0.873660338877214,0.38234410247317
"26","stateLA",0.141124585550931,0.199398830272244,0.707750318084866,0.47913243837749
"27","stateMA",0.358738476391247,0.197551624976669,1.81592268063406,0.0694405145117911
"28","stateMD",0.201759992636979,0.198173807108637,1.01809616306345,0.308680213579858
"29","stateME",0.309790176998504,0.2207846759017,1.40313260299113,0.160637750605188
"30","stateMI",0.250740349167831,0.194985415765355,1.28594412142892,0.19852053514841
"31","stateMN",0.215318971793543,0.199601738938993,1.0787429655578,0.28075298509407
"32","stateMO",0.195904440569559,0.196979854882426,0.994540485810042,0.320006657784262
"33","stateMS",0.0641332299570734,0.206319859464831,0.310843707064494,0.755932055267564
"34","stateMT",0.184140092560385,0.226248701098846,0.813883534650374,0.415749404971289
"35","stateNC",0.176375358547188,0.194345341946762,0.907535816297071,0.364166096311393
"36","stateND",-0.0140269878389056,0.302677955799962,-0.0463429449357586,0.96303871269643
"37","stateNE",0.176227042208283,0.222441213643323,0.792240967048746,0.428256775569891
"38","stateNH",0.251187854224822,0.224230403453803,1.1202221034962,0.262671507115003
"39","stateNJ",0.198512854087025,0.194642509791474,1.01988437315002,0.307831339177954
"40","stateNM",0.37908615033109,0.217990038311946,1.73900676043102,0.0820934902214201
"41","stateNV",0.128616790249024,0.20056989365877,0.641256710580101,0.52138452316707
"42","stateNY",0.220188576565403,0.192666685713499,1.14284717023072,0.253155320201658
"43","stateOH",0.185770290495977,0.193686066479128,0.959130896057492,0.337537955481736
"44","stateOK",0.110231444726744,0.203001735300384,0.543007401210799,0.587148270185299
"45","stateOR",0.259458101401146,0.19887176905702,1.30465024086327,0.192070427243163
"46","statePA",0.129516222024463,0.193926782136803,0.667861450581372,0.504252045408421
"47","stateRI",0.342216541067345,0.246681666894193,1.38727999277761,0.165416594609435
"48","stateSC",0.0181606036269655,0.198222763059241,0.0916171450073978,0.927005801959468
"49","stateSD",0.128276792196669,0.231113517287937,0.555038033698623,0.578892817033804
"50","stateTN",0.0469702218896404,0.197290808645171,0.238076077705762,0.811831585769148
"51","stateTX",0.0960182771711244,0.192749227413383,0.498151294610365,0.618398738398738
"52","stateUT",0.091519546444683,0.207863139922182,0.440287520331625,0.659747406498045
"53","stateVA",0.215080892105739,0.194572992425851,1.10539951832063,0.26903829026055
"54","stateVT",0.543523440756827,0.231237961631858,2.35049399727084,0.0187861305314316
"55","stateWA",0.251786420880757,0.196908862875239,1.27869521566578,0.201062180317479
"56","stateWI",0.277566842989083,0.197011537101087,1.40888623617338,0.158929347034707
"57","stateWV",0.122063159217199,0.20830100449319,0.585994097888228,0.557905230663638
"58","stateWY",0.294365501532882,0.382972081246487,0.768634362522692,0.442145741627734
"59","raceblack/african american",0.432802278735324,0.0649694801871682,6.6616244656488,2.99171161935934e-11
"60","racechinese",0.267359580571491,0.0859811709175397,3.1095131377997,0.00188421894791231
"61","racejapanese",0.301701425829432,0.129669417182759,2.32669686024891,0.0200201034711421
"62","raceother asian or pacific islander",0.156969001193441,0.0717591727550252,2.18744162128665,0.028755231505188
"63","raceother race, nec",0.18797737972176,0.0673542603371386,2.79087586710696,0.00527596977152437
"64","racewhite",0.017844782238121,0.0624513405369261,0.285738978294145,0.775089571501631
